"Hugo_Symbol","Percent_Mut","Percent_AMP","Percent_DEL","Percent_AnyAlteration"
"ADH6",0.293255131964809,0,0,0.293255131964809
"ADH7",0.293255131964809,0,0,0.293255131964809
"ADHFE1",0.293255131964809,0,0,0.293255131964809
"ADI1",0.293255131964809,0,0,0.293255131964809
"ADIPOR1",0.586510263929619,1.17302052785924,0,1.75953079178886
"ADIPOR2",0.293255131964809,0.879765395894428,0,1.17302052785924
"ADM2",0.293255131964809,0,0.879765395894428,1.17302052785924
"ADNP",0.293255131964809,0,0,0.293255131964809
"ADNP2",1.75953079178886,0,0,1.75953079178886
"ADORA3",0.293255131964809,0,0,0.293255131964809
"ADPGK",0.293255131964809,0,0,0.293255131964809
"ADPRH",0.293255131964809,0,0,0.293255131964809
"ADPRHL1",0.586510263929619,0.293255131964809,0,0.879765395894428
"ADPRHL2",0.293255131964809,0.586510263929619,0,0.879765395894428
"ADRA1A",0.293255131964809,0,0,0.293255131964809
"ADRA1B",0.293255131964809,0,0,0.293255131964809
"ADRA2B",0.293255131964809,0.293255131964809,0,0.586510263929619
"ADRA2C",0.586510263929619,0,0,0.586510263929619
"ADRBK1",0.293255131964809,0,0,0.293255131964809
"ADRBK2",1.75953079178886,0.879765395894428,0,2.63929618768328
"ADRM1",0.293255131964809,0,0,0.293255131964809
"ADSL",0.293255131964809,0.293255131964809,0,0.586510263929619
"AEBP1",0.586510263929619,1.75953079178886,0,2.34604105571848
"AFAP1",0.586510263929619,0.293255131964809,0,0.879765395894428
"AFAP1L1",0.586510263929619,0,0,0.586510263929619
"AFAP1L2",0.879765395894428,0,0,0.879765395894428
"AFF1",0.586510263929619,0,0,0.586510263929619
"AFF2",2.34604105571848,0.293255131964809,0.879765395894428,3.51906158357771
"AFF3",0.586510263929619,0.586510263929619,0,1.17302052785924
"AFF4",0.879765395894428,0,0.293255131964809,1.17302052785924
"AFG3L2",0.293255131964809,0,0.293255131964809,0.586510263929619
"AFM",2.34604105571848,0,0,2.34604105571848
"AFMID",0.293255131964809,0.586510263929619,0,0.879765395894428
"AFP",0.586510263929619,0,0,0.586510263929619
"AFTPH",0.293255131964809,0,0,0.293255131964809
"AGA",0.293255131964809,0.293255131964809,0.293255131964809,0.879765395894428
"AGAP1",0.293255131964809,0.293255131964809,0.293255131964809,0.879765395894428
"AGAP2",0.586510263929619,15.5425219941349,0,16.1290322580645
"AGAP3",1.75953079178886,0.586510263929619,0,2.34604105571848
"AGAP5",0.293255131964809,0,0.293255131964809,0.586510263929619
"AGAP6",0.879765395894428,0,0.879765395894428,1.75953079178886
"AGAP7",0.586510263929619,0,0.586510263929619,1.17302052785924
"AGBL1",0.586510263929619,0,0,0.586510263929619
"AGBL2",0.586510263929619,0,0,0.586510263929619
"AGBL5",0.879765395894428,0,0,0.879765395894428
"AGFG1",0.293255131964809,0,0,0.293255131964809
"AGFG2",0.293255131964809,0.586510263929619,0,0.879765395894428
"AGL",0.879765395894428,0.293255131964809,0,0.879765395894428
"AGPAT1",0.586510263929619,0,0,0.586510263929619
"AGPAT2",0.293255131964809,0.879765395894428,0,1.17302052785924
"AGPAT5",0.293255131964809,0.293255131964809,0,0.586510263929619
"AGPAT6",0.293255131964809,0,0,0.293255131964809
"AGPS",0.293255131964809,0,0.293255131964809,0.586510263929619
"AGRN",0.879765395894428,0.586510263929619,0.586510263929619,2.05278592375367
"AGT",0.586510263929619,0,0,0.586510263929619
"AGTPBP1",0.293255131964809,0.293255131964809,0,0.586510263929619
"AGTR1",0.293255131964809,0.293255131964809,0,0.586510263929619
"AGTR2",0.586510263929619,0,0,0.586510263929619
"AGXT",0.293255131964809,0,0.293255131964809,0.586510263929619
"AGXT2",0.586510263929619,0.293255131964809,0.293255131964809,1.17302052785924
"AGXT2L1",0.879765395894428,0,0,0.879765395894428
"AHCTF1",0.293255131964809,0.586510263929619,0,0.879765395894428
"AHCYL2",0.586510263929619,1.46627565982405,0,2.05278592375367
"AHDC1",0.586510263929619,0,0.293255131964809,0.879765395894428
"AHI1",0.293255131964809,0,0.586510263929619,0.879765395894428
"AHNAK",2.63929618768328,0,0,2.63929618768328
"AHNAK2",6.45161290322581,0.293255131964809,0,6.74486803519062
"AHR",1.46627565982405,0.586510263929619,0,2.05278592375367
"AHRR",0.586510263929619,1.17302052785924,0,1.75953079178886
"AHSA1",0.293255131964809,0,0,0.293255131964809
"AHSP",0.293255131964809,0,0,0.293255131964809
"AICDA",0.879765395894428,0.293255131964809,0,1.17302052785924
"AIDA",0.293255131964809,0,0.293255131964809,0.293255131964809
"AIFM1",0.879765395894428,0.293255131964809,0,1.17302052785924
"AIFM2",0.293255131964809,0,0.293255131964809,0.586510263929619
"AIFM3",0.879765395894428,0.879765395894428,0.293255131964809,2.05278592375367
"AIM1",1.46627565982405,0.586510263929619,0,2.05278592375367
"AIM1L",0.293255131964809,0,0,0.293255131964809
"AIM2",0.586510263929619,0.293255131964809,0,0.879765395894428
"AIMP1",0.293255131964809,0,0,0.293255131964809
"AIMP2",0.293255131964809,0.586510263929619,0,0.879765395894428
"AIP",0.293255131964809,0,0,0.293255131964809
"AIRE",0.586510263929619,0,0,0.586510263929619
"AK5",0.586510263929619,0.293255131964809,0,0.586510263929619
"AK7",2.34604105571848,0.293255131964809,0,2.63929618768328
"AKAP1",0.293255131964809,1.17302052785924,0,1.46627565982405
"AKAP11",0.293255131964809,0,0,0.293255131964809
"AKAP12",0.293255131964809,0,0.293255131964809,0.586510263929619
"AKAP13",1.17302052785924,0,0,1.17302052785924
"AKAP14",0.586510263929619,0,0,0.586510263929619
"AKAP2",1.17302052785924,0.293255131964809,0,1.46627565982405
"AKAP4",0.879765395894428,0,0.293255131964809,1.17302052785924
"AKAP5",0.586510263929619,0,0,0.586510263929619
"AKAP6",1.17302052785924,0,0,1.17302052785924
"AKAP7",0.293255131964809,0,0.293255131964809,0.586510263929619
"AKAP8",0.293255131964809,0,0,0.293255131964809
"AKAP8L",0.586510263929619,0,0,0.586510263929619
"AKAP9",1.75953079178886,2.34604105571848,0.293255131964809,4.39882697947214
"AKD1",0.879765395894428,0,0,0.879765395894428
"AKNA",0.293255131964809,0.586510263929619,0,0.879765395894428
"AKNAD1",0.586510263929619,0.293255131964809,0,0.586510263929619
"AKR1A1",0.586510263929619,0.293255131964809,0,0.879765395894428
"AKR1B10",0.586510263929619,0.293255131964809,0,0.879765395894428
"AKR1B15",0.293255131964809,0.293255131964809,0,0.293255131964809
"AKR1C1",0.586510263929619,0.586510263929619,0,1.17302052785924
"AKR1C2",0.293255131964809,0.586510263929619,0,0.879765395894428
"AKR1C4",0.586510263929619,0.293255131964809,0.293255131964809,1.17302052785924
"AKR1D1",0.293255131964809,0.879765395894428,0,1.17302052785924
"AKR1E2",0.586510263929619,0.586510263929619,0,1.17302052785924
"AKR7A2",0.293255131964809,0.586510263929619,0,0.879765395894428
"AKR7A3",0.879765395894428,0.586510263929619,0,1.46627565982405
"AKT1",0.586510263929619,1.17302052785924,0,1.75953079178886
"AKTIP",0.293255131964809,0,0,0.293255131964809
